EVENTID,TYPE,AUTHOR,DATE,TIME,LAT,LON,DEPTH,DEPFIX,AUTHOR,TYPE,MAG,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Extra_10,Extra_11,Extra_12,Extra_13,Extra_14,Extra_15,Extra_16,Extra_17,Extra_18,Extra_19,Extra_20,Extra_21,Extra_22,Extra_23,Extra_24,Extra_25,Extra_26,Extra_27,Extra_28,Extra_29,Extra_30,Extra_31,Extra_32,Extra_33,Extra_34,Extra_35,Extra_36,Extra_37,Extra_38,Extra_39,Extra_40,Extra_41,Extra_42,Extra_43,Extra_44,Extra_45,Extra_46,Extra_47,Extra_48,Extra_49,Extra_50,Extra_51,Extra_52,Extra_53,Extra_54,Extra_55,Extra_56,Extra_57,Extra_58,Extra_59,Extra_60,Extra_61,Extra_62,Extra_63,Extra_64,Extra_65,Extra_66,Extra_67,Extra_68,Extra_69,Extra_70,Extra_71,Extra_72,Extra_73,Extra_74,Extra_75,Extra_76,Extra_77,Extra_78,Extra_79,Extra_80,Extra_81,Extra_82,Extra_83,Extra_84,Extra_85,Extra_86,Extra_87,Extra_88,Extra_89,Extra_90,Extra_91,Extra_92,Extra_93,Extra_94,Extra_95,Extra_96,Extra_97,Extra_98,Extra_99,Extra_100,Extra_101,Extra_102,Extra_103,Extra_104,Extra_105,Extra_106,Extra_107,Extra_108,Extra_109,Extra_110
   907603,ke  ,GUTE     ,22-09-1930,14:19:11   , 25.0000,  94.0000,35.0,TRUE  ,PAS      ,MS    ,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   907773,ke  ,ISC      ,02-12-1930,07:01:30.98, 25.8544,  98.3564,35.0,TRUE  ,ISC      ,MS    ,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   907777,ke  ,ISC      ,03-12-1930,18:51:47.06, 18.2335,  96.2981,10.0,TRUE  ,ISC      ,MS    ,7.5,PAS      ,MS    , 7.3,ABE1     ,mB    , 7.1,P&S      ,Ms    , 7.3,ABE1     ,Ms    , 7.5,P&S      ,Mw    , 7.3,B&D      ,UK    , 7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   906595,ke  ,ISC      ,27-01-1931,20:09:19.60, 25.8505,  96.7897,15.0,TRUE  ,ISC      ,MS    ,7.6,PAS      ,MS    , 7.6,ABE1     ,mB    , 7.3,P&S      ,Ms    , 7.5,ABE1     ,Ms    , 7.7,P&S      ,Mw    , 7.6,B&D      ,UK    , 7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   906619,ke  ,GUTE     ,10-02-1931,01:22:54   , 25.5000,  96.0000,35.0,TRUE  ,PAS      ,MS    ,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   906794,ke  ,GUTE     ,27-05-1931,00:43:29   , 27.5000,  98.5000,35.0,TRUE  ,PAS      ,MS    ,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   906991,ke  ,GUTE     ,06-09-1931,05:38:07   , 18.5000,  96.0000,35.0,TRUE  ,PAS      ,MS    ,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   907085,ke  ,GUTE     ,18-10-1931,07:06:40   , 26.0000,  98.0000,35.0,TRUE  ,PAS      ,MS    ,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   907142,ke  ,GUTE     ,30-11-1931,17:01:36   , 15.5000,  92.5000,35.0,TRUE  ,PAS      ,MS    ,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   905971,ke  ,GUTE     ,03-01-1932,07:50:23   , 25.5000,  98.5000,35.0,TRUE  ,PAS      ,MS    ,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   906052,ke  ,GUTE     ,06-03-1932,00:17:56   , 25.5000,  92.5000,35.0,TRUE  ,PAS      ,MS    ,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   906078,ke  ,GUTE     ,24-03-1932,16:08:36   , 25.0000,  90.0000,35.0,TRUE  ,PAS      ,MS    ,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
